f	power	dB
68.700001	0.000000	-88.007028
68.800001	0.000000	-88.068678
68.900001	0.000000	-88.130193
69.000001	0.000000	-88.191574
69.100001	0.000000	-88.252822
69.200001	0.000000	-88.313937
69.300001	0.000000	-88.374919
69.400001	0.000000	-88.435771
69.500001	0.000000	-88.496491
69.600001	0.000000	-88.557081
69.700001	0.000000	-88.617541
69.800001	0.000000	-88.677872
69.900001	0.000000	-88.738074
70.000001	0.000000	-88.798149
70.100001	0.000000	-88.858096
70.200001	0.000000	-88.917916
70.300001	0.000000	-88.977610
70.400001	0.000000	-89.037179
70.500001	0.000000	-89.096622
70.600001	0.000000	-89.155941
70.700001	0.000000	-89.215136
70.800001	0.000000	-89.274207
70.900001	0.000000	-89.333156
71.000001	0.000000	-89.391982
71.100001	0.000000	-89.450687
71.200001	0.000000	-89.509270
71.300001	0.000000	-89.567732
71.400001	0.000000	-89.626075
71.500001	0.000000	-89.684297
71.600001	0.000000	-89.742401
71.700001	0.000000	-89.800386
71.800001	0.000000	-89.858253
71.900001	0.000000	-89.916002
72.000001	0.000000	-89.973635
72.100001	0.000000	-90.031150
72.200001	0.000000	-90.088550
72.300001	0.000000	-90.145834
72.400001	0.000000	-90.203004
72.500001	0.000000	-90.260058
72.600001	0.000000	-90.316999
72.700001	0.000000	-90.373826
72.800001	0.000000	-90.430539
72.900001	0.000000	-90.487141
73.000001	0.000000	-90.543630
73.100001	0.000000	-90.600007
73.200001	0.000000	-90.656273
73.300001	0.000000	-90.712429
73.400001	0.000000	-90.768474
73.500001	0.000000	-90.824410
73.600001	0.000000	-90.880236
73.700001	0.000000	-90.935953
73.800001	0.000000	-90.991561
73.900001	0.000000	-91.047062
74.000001	0.000000	-91.102455
74.100001	0.000000	-91.157741
74.200001	0.000000	-91.212921
74.300001	0.000000	-91.267994
74.400001	0.000000	-91.322961
74.500001	0.000000	-91.377823
74.600001	0.000000	-91.432580
74.700001	0.000000	-91.487233
74.800001	0.000000	-91.541781
74.900001	0.000000	-91.596226
75.000001	0.000000	-91.650567
75.100001	0.000000	-91.704806
75.200001	0.000000	-91.758942
75.300001	0.000000	-91.812977
75.400001	0.000000	-91.866909
75.500001	0.000000	-91.920741
75.600001	0.000000	-91.974471
75.700001	0.000000	-92.028101
75.800001	0.000000	-92.081632
75.900001	0.000000	-92.135062
76.000001	0.000000	-92.188393
76.100001	0.000000	-92.241626
76.200001	0.000000	-92.294760
76.300001	0.000000	-92.347796
76.400001	0.000000	-92.400734
76.500001	0.000000	-92.453575
76.600001	0.000000	-92.506319
76.700001	0.000000	-92.558967
76.800001	0.000000	-92.611518
76.900001	0.000000	-92.663973
77.000001	0.000000	-92.716334
77.100001	0.000000	-92.768599
77.200001	0.000000	-92.820769
77.300001	0.000000	-92.872845
77.400001	0.000000	-92.924827
77.500001	0.000000	-92.976715
77.600001	0.000000	-93.028510
77.700001	0.000000	-93.080212
77.800001	0.000000	-93.131821
77.900001	0.000000	-93.183339
78.000001	0.000000	-93.234764
78.100001	0.000000	-93.286098
78.200001	0.000000	-93.337340
78.300001	0.000000	-93.388492
78.400001	0.000000	-93.439553
78.500001	0.000000	-93.490524
78.600001	0.000000	-93.541406
78.700001	0.000000	-93.592197
78.800001	0.000000	-93.642900
78.900001	0.000000	-93.693513
79.000001	0.000000	-93.744039
79.100001	0.000000	-93.794475
79.200001	0.000000	-93.844824
79.300001	0.000000	-93.895086
79.400001	0.000000	-93.945260
79.500001	0.000000	-93.995347
79.600001	0.000000	-94.045348
79.700001	0.000000	-94.095262
79.800001	0.000000	-94.145090
79.900001	0.000000	-94.194833
80.000001	0.000000	-94.244490
80.100001	0.000000	-94.294062
80.200001	0.000000	-94.343550
80.300001	0.000000	-94.392953
80.400001	0.000000	-94.442271
80.500001	0.000000	-94.491506
80.600001	0.000000	-94.540658
80.700001	0.000000	-94.589726
80.800001	0.000000	-94.638711
80.900001	0.000000	-94.687613
81.000001	0.000000	-94.736433
81.100001	0.000000	-94.785171
81.200001	0.000000	-94.833827
81.300001	0.000000	-94.882402
81.400001	0.000000	-94.930895
81.500001	0.000000	-94.979307
81.600001	0.000000	-95.027639
81.700001	0.000000	-95.075890
81.800001	0.000000	-95.124061
81.900001	0.000000	-95.172152
82.000001	0.000000	-95.220164
82.100001	0.000000	-95.268096
82.200001	0.000000	-95.315950
82.300001	0.000000	-95.363724
82.400001	0.000000	-95.411420
82.500001	0.000000	-95.459038
82.600001	0.000000	-95.506578
82.700001	0.000000	-95.554040
82.800001	0.000000	-95.601425
82.900001	0.000000	-95.648733
83.000001	0.000000	-95.695963
83.100001	0.000000	-95.743117
83.200001	0.000000	-95.790195
83.300001	0.000000	-95.837196
83.400001	0.000000	-95.884122
83.500001	0.000000	-95.930972
83.600001	0.000000	-95.977746
83.700001	0.000000	-96.024446
83.800001	0.000000	-96.071070
83.900001	0.000000	-96.117620
84.000001	0.000000	-96.164096
84.100001	0.000000	-96.210497
84.200001	0.000000	-96.256825
84.300001	0.000000	-96.303079
84.400001	0.000000	-96.349259
84.500001	0.000000	-96.395366
84.600001	0.000000	-96.441401
84.700001	0.000000	-96.487362
84.800001	0.000000	-96.533252
84.900001	0.000000	-96.579069
85.000001	0.000000	-96.624813
85.100001	0.000000	-96.670487
85.200001	0.000000	-96.716088
85.300001	0.000000	-96.761619
85.400001	0.000000	-96.807078
85.500001	0.000000	-96.852467
85.600001	0.000000	-96.897784
85.700001	0.000000	-96.943032
85.800001	0.000000	-96.988209
85.900001	0.000000	-97.033317
86.000001	0.000000	-97.078354
86.100001	0.000000	-97.123323
86.200001	0.000000	-97.168221
86.300001	0.000000	-97.213051
86.400001	0.000000	-97.257812
86.500001	0.000000	-97.302505
86.600001	0.000000	-97.347129
86.700001	0.000000	-97.391685
86.800001	0.000000	-97.436172
86.900001	0.000000	-97.480592
87.000001	0.000000	-97.524945
87.100001	0.000000	-97.569230
